"","RESPONDENT_RACE","PARTNER_RACE","respondent_education","partner_education","PPPARTYID3","Q12"
"1704","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"1705","(3) NH Amer Indian","(3) NH Amer Indian","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1706","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"1707","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1708","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"1709","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1710","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"1711","(2) NH black","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(1) republican"
"1712","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1713","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"1714","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1715","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(5) no preference"
"1716","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(2) other","(5) no preference"
"1717","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(2) democrat"
"1718","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1719","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1720","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1721","(6) Hispanic","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"1722","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1723","(4) NH Asian Pac Islander","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1724","(1) NH white","(4) NH Asian Pac Islander","Bachelors","Bachelors","(3) democrat","(2) democrat"
"1725","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"1726","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1727","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1728","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1729","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(2) other","(5) no preference"
"1730","(4) NH Asian Pac Islander","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(1) republican"
"1731","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1732","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"1733","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(3) independent"
"1734","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"1735","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1736","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"1737","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(3) independent"
"1738","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1739","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1740","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"1741","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1742","(1) NH white","(3) NH Amer Indian","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"1743","(6) Hispanic","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1744","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"1745","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1746","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"1747","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1748","(3) NH Amer Indian","(3) NH Amer Indian","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1749","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(3) independent"
"1750","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"1751","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1752","(5) NH Other","(1) NH white","Advanced degree","Bachelors","(3) democrat","(1) republican"
"1753","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"1754","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(5) no preference"
"1755","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1756","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"1757","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"1758","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1759","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"1760","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1761","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(2) other","(2) democrat"
"1762","(2) NH black","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"1763","(1) NH white","(2) NH black","Less than Bachelors","Bachelors","(1) republican","(2) democrat"
"1764","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1765","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1766","(6) Hispanic","(1) NH white","Bachelors","Bachelors","(1) republican","(3) independent"
"1767","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1768","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1769","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1770","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"1771","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1772","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1773","(6) Hispanic","(4) NH Asian Pac Islander","Less than Bachelors","Advanced degree","(2) other","(5) no preference"
"1774","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1775","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"1776","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"1777","(1) NH white","(6) Hispanic","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"1778","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1779","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1780","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"1781","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1782","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1783","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1784","(4) NH Asian Pac Islander","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1785","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(3) independent"
"1786","(1) NH white","(6) Hispanic","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"1787","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1788","(2) NH black","(2) NH black","Advanced degree","Less than Bachelors","(1) republican","(2) democrat"
"1789","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1790","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(1) republican"
"1791","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1792","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1793","(6) Hispanic","(6) Hispanic","Advanced degree","Less than Bachelors","(1) republican","(1) republican"
"1794","(2) NH black","(2) NH black","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"1795","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"1796","(5) NH Other","(5) NH Other","Advanced degree","Less than Bachelors","(3) democrat","(3) independent"
"1797","(2) NH black","(4) NH Asian Pac Islander","Advanced degree","Advanced degree","(3) democrat","(3) independent"
"1798","(1) NH white","(2) NH black","Less than Bachelors","Bachelors","(1) republican","(2) democrat"
"1799","(1) NH white","(5) NH Other","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"1800","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1801","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(3) independent"
"1802","(1) NH white","(2) NH black","Less than Bachelors","Less than Bachelors","(2) other","(5) no preference"
"1803","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1804","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1805","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"1806","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1807","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1808","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"1809","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1810","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1811","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(4) another party, please specify"
"1812","(5) NH Other","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1813","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1814","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"1815","(1) NH white","(6) Hispanic","Bachelors","Bachelors","(3) democrat","(2) democrat"
"1816","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"1817","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(3) independent"
"1818","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"1819","(6) Hispanic","(4) NH Asian Pac Islander","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1820","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"1821","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1822","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"1823","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"1824","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"1825","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"1826","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1827","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1828","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(3) independent"
"1829","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1830","(3) NH Amer Indian","(5) NH Other","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1831","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1832","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","Advanced degree","Less than Bachelors","(1) republican","(3) independent"
"1833","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1834","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1835","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(1) republican"
"1836","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","Advanced degree","Bachelors","(1) republican","(1) republican"
"1837","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1838","(2) NH black","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1839","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1840","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(3) independent"
"1841","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"1842","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1843","(2) NH black","(2) NH black","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"1844","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1845","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1846","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1847","(1) NH white","(1) NH white","Advanced degree","Bachelors","(1) republican","(1) republican"
"1848","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(4) another party, please specify"
"1849","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1850","(1) NH white","(3) NH Amer Indian","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1851","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1852","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"1853","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1854","(6) Hispanic","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"1855","(2) NH black","(6) Hispanic","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"1856","(1) NH white","(1) NH white","Bachelors","Advanced degree","(1) republican","(1) republican"
"1857","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"1858","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"1859","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1860","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"1861","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1862","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1863","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"1864","(1) NH white","(2) NH black","Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1865","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(5) no preference"
"1866","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1867","(6) Hispanic","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1868","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"1869","(6) Hispanic","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(3) independent"
"1870","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"1871","(6) Hispanic","(4) NH Asian Pac Islander","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1872","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1873","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1874","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1875","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1876","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"1877","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1878","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1879","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(1) republican"
"1880","(2) NH black","(2) NH black","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1881","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1882","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"1883","(6) Hispanic","(6) Hispanic","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1884","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1885","(6) Hispanic","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"1886","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(5) no preference"
"1887","(6) Hispanic","(2) NH black","Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"1888","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"1889","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"1890","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1891","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(5) no preference"
"1892","(2) NH black","(6) Hispanic","Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"1893","(6) Hispanic","(6) Hispanic","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1894","(6) Hispanic","(6) Hispanic","Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"1895","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"1896","(6) Hispanic","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(3) independent"
"1897","(1) NH white","(4) NH Asian Pac Islander","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"1898","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(2) other","(5) no preference"
"1899","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1900","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1901","(1) NH white","(1) NH white","Advanced degree","Bachelors","(3) democrat","(2) democrat"
"1902","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1903","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"1904","(2) NH black","(2) NH black","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1905","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"1906","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1907","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1908","(1) NH white","(5) NH Other","Bachelors","Advanced degree","(2) other","(2) democrat"
"1909","(2) NH black","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1910","(1) NH white","(1) NH white","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"1911","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(3) independent"
"1912","(6) Hispanic","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1913","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(2) democrat"
"1914","(6) Hispanic","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"1915","(1) NH white","(2) NH black","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"1916","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1917","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1918","(1) NH white","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"1919","(4) NH Asian Pac Islander","(4) NH Asian Pac Islander","Less than Bachelors","Less than Bachelors","(2) other","(4) another party, please specify"
"1920","(1) NH white","(1) NH white","Advanced degree","Bachelors","(1) republican","(1) republican"
"1921","(6) Hispanic","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"1922","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1923","(5) NH Other","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(2) democrat"
"1924","(2) NH black","(2) NH black","Advanced degree","Bachelors","(1) republican","(1) republican"
"1925","(1) NH white","(6) Hispanic","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"1926","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1927","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1928","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1929","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(3) democrat","(2) democrat"
"1930","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(3) independent"
"1931","(6) Hispanic","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(2) democrat"
"1932","(6) Hispanic","(5) NH Other","Advanced degree","Less than Bachelors","(3) democrat","(2) democrat"
"1933","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1934","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"1935","(6) Hispanic","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"1936","(2) NH black","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"1937","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1938","(1) NH white","(1) NH white","Bachelors","Bachelors","(1) republican","(1) republican"
"1939","(6) Hispanic","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1940","(3) NH Amer Indian","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1941","(2) NH black","(2) NH black","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1942","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(2) democrat"
"1943","(6) Hispanic","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1944","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1945","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"1946","(6) Hispanic","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1947","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(5) no preference"
"1948","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(1) republican"
"1949","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"1950","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1951","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1952","(1) NH white","(6) Hispanic","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"1953","(6) Hispanic","(1) NH white","Advanced degree","Advanced degree","(3) democrat","(5) no preference"
"1954","(2) NH black","(2) NH black","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1955","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(1) republican"
"1956","(6) Hispanic","(2) NH black","Bachelors","Advanced degree","(3) democrat","(5) no preference"
"1957","(1) NH white","(1) NH white","Less than Bachelors","Advanced degree","(1) republican","(1) republican"
"1958","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1959","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1960","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1961","(2) NH black","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1962","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"1963","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(3) independent"
"1964","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1965","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(5) no preference"
"1966","(1) NH white","(1) NH white","Bachelors","Advanced degree","(3) democrat","(1) republican"
"1967","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1968","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(3) independent"
"1969","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1970","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1971","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1972","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(3) democrat","(2) democrat"
"1973","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1974","(1) NH white","(1) NH white","Bachelors","Bachelors","(3) democrat","(2) democrat"
"1975","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(5) no preference"
"1976","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1977","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(2) democrat"
"1978","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1979","(2) NH black","(2) NH black","Bachelors","Bachelors","(3) democrat","(3) independent"
"1980","(1) NH white","(1) NH white","Less than Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1981","(1) NH white","(1) NH white","Advanced degree","Bachelors","(1) republican","(3) independent"
"1982","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(1) republican","(1) republican"
"1983","(1) NH white","(1) NH white","Less than Bachelors","Bachelors","(1) republican","(1) republican"
"1984","(2) NH black","(2) NH black","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
"1985","(1) NH white","(1) NH white","Bachelors","Less than Bachelors","(3) democrat","(2) democrat"
